sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,250,2003.752278
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,150,1652.879468
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,150,2462.664677
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,150,1765.049027
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,150,2202.565719
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,100,1562.554826
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,100,2030.785554
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,100,1756.979168
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,100,1660.679889
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,60,1340.830928
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,60,1943.413858
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,60,1423.218495
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,60,1641.436766
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,30,867.5476249
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,30,1092.448523
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,30,934.33048
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,30,1033.109251
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,10,410.1426911
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,10,427.6140441
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,10,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,10,433.4923041
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,450,2303.887003
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,450,2556.750546
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,450,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,450,2561.266006
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,250,2508.326695
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,250,2873.342888
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,250,2812.812808
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,250,2494.141232
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,150,2072.453056
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,150,2164.542872
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,150,2688.966474
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,150,2384.480361
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,100,1856.614895
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,100,1973.305042
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,100,2296.677192
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,100,2086.59482
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,60,1352.313866
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,60,1361.168486
