energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2481.15,1.8949602,1.7163306,1.9952304,1.9496405,1.9975221,2.2596208,2.0037262,2.2171623,1.7120382,2.2226487,2.0759334,2.7346546,1.5528434,2.094865,1.2331147
2481.3,1.9397044,1.6674573,2.0008892,1.9453435,2.0237804,2.3065232,1.9654089,2.1885841,1.7049012,2.2352155,2.0573409,2.8793296,1.5689876,2.1264627,1.2210744
2481.45,2.0002082,1.6373435,2.000819,1.979751,2.093852,2.3953617,1.9328905,2.172744,1.760049,2.2571265,2.1214743,3.0217256,1.5885381,2.1224857,1.2402947
2481.6,2.076415,1.6035151,2.0540251,1.9897925,2.1628391,2.4814858,1.9267306,2.1648496,1.8366806,2.3104442,2.1499289,3.1897115,1.630642,2.1840668,1.22923
2481.75,2.1615906,1.5619682,2.0717276,2.0045978,2.2378565,2.5826907,1.8957412,2.1576889,1.8577433,2.3636774,2.1974407,3.2651584,1.6388667,2.1782617,1.2496034
2481.9,2.196846,1.5275533,2.0715261,1.9935955,2.2675664,2.6233198,1.8720991,2.1099724,1.9007854,2.3889928,2.2247103,3.2782202,1.6540163,2.1834171,1.2390443
2482.05,2.2181387,1.4823287,2.0725716,1.9932003,2.2823243,2.6132058,1.8266917,2.0668298,1.9201184,2.3345533,2.2038253,3.1887928,1.6442998,2.1741585,1.2349089
2482.2,2.1884816,1.4304293,2.0185294,1.9104207,2.234878,2.5613335,1.7633867,1.9881734,1.8888797,2.3128221,2.1321146,3.1534704,1.5856943,2.1170578,1.2164872
2482.35,2.1121223,1.3708419,1.9409557,1.8717367,2.1463798,2.4783352,1.7084999,1.8915808,1.803303,2.2168064,2.08358,2.9710514,1.5675135,2.0434541,1.2012867
2482.5,2.0191847,1.3210522,1.858484,1.7651519,2.0326289,2.3241091,1.6393476,1.8029338,1.7696527,2.0959523,1.9695031,2.8165272,1.5085619,1.9378319,1.1715358
2482.65,1.8912629,1.2653402,1.7799715,1.679236,1.9310989,2.1785626,1.5511288,1.6534375,1.6747485,1.9646807,1.8483013,2.5760883,1.4776047,1.7673436,1.1610061
2482.8,1.7762433,1.218378,1.661231,1.6042972,1.8082503,2.0145159,1.4731572,1.6076098,1.5785958,1.8331456,1.7396294,2.3207359,1.3806444,1.6743486,1.1347043
2482.95,1.6540055,1.1769525,1.5534066,1.4944022,1.6810182,1.8326054,1.3966122,1.4919818,1.4932671,1.701261,1.6189529,2.1240624,1.3367277,1.5773233,1.1198101
2483.1,1.5529538,1.1456316,1.454994,1.3966948,1.5836358,1.6831047,1.3160787,1.4033661,1.4194095,1.5780848,1.4782177,1.9181358,1.2812078,1.4533401,1.1140701
2483.25,1.444756,1.1171746,1.383497,1.3199484,1.4505557,1.5297581,1.2720677,1.3260429,1.3443024,1.4745107,1.4365584,1.7379157,1.239829,1.3762351,1.0893346
